hostname,user,date,msg,pre_log
'zjk-laptop','zjk','2024-03-17 16:26:09','log-v3','8f30f1f5cc930e6780e1bcfcd9a10cab562dfa35 log-v2'
'zjk-laptop','zjk','2024-03-17 16:42:13','avahi-daemon','f6ca7e164d2518746038af3b8673c067bedc7fb1 log-v3'
'zjk-laptop','zjk','2024-03-17 17:27:57','setup-v1','8c789c3bf5909a6c4efd4c68bdfd37bff7fb1aa3 avahi-daemon'
'zjk-laptop','zjk','2024-03-17 17:31:06','test-01','6615b0b317f918f962ef43c290ffbb79f6cdfc75 setup-v1'
'zjk-laptop','zjk','2024-03-17 18:25:35','setup-end','b002000caf87abeb1c0e9a8c63822009f8b57cec test-01'
'zjk-laptop','zjk','2024-03-17 18:33:12','setup-finish-V1.0.0','d568507b80274797ab33074db72d71a91d45ee26 setup-end'
'zjk-laptop','zjk','2024-03-17 19:37:49','none','6447833518d37271e2059d608a37174570caa580 setup-finish-V1.0.0'
'zjk-laptop','zjk','2024-03-17 21:58:13','kvm','b58089275df162fb7de898b8c1fa43e321e50b3a none'
'zjk-laptop','zjk','2024-03-17 22:30:32','none','a2ca6d149e454c130c1d080be9caa60b43a54f13 kvm'
'zjk-laptop','zjk','2024-03-18 01:44:07','none','1ba2f7a50b035e7733a6a20294256d305aeac05a none'
'zjk-laptop','zjk','2024-03-18 13:05:29','none','d63cd953eb0162e517313d14e3a47af2c99dca1b none'
'zjk-laptop','zjk','2024-03-18 13:54:04','kvm','b8f17956c9f9a29e723978b549eafdd76fa82b31 none'
'zjk-laptop','zjk','2024-03-18 17:23:30','none','52fba02fa62ff5d3aa7bcab8bd328a4084d883f1 kvm'
'zjk-laptop','zjk','2024-03-18 19:46:07','kvm-arch','7ddeab8efbd87e33b55b404ca174a5e37baec989 none'
'zjk-laptop','zjk','2024-03-19 00:09:23','mountpoint','e6955d78a5794746d868ad87e760f23e72c9c615 kvm-arch'
'zjk-laptop','zjk','2024-03-19 00:16:52','re','7e11c8d72a9fe04c6291fe21216c8106b39c3b72 test'
'zjk-laptop','zjk','2024-03-19 00:23:26','re-mountpoint','2939269e0321f85853fb0f99588ffc40561bdfee re'
'zjk-laptop','zjk','2024-03-19 00:25:18','none','723cfc34ef241abf17cb84720d69bee03bb7e7b3 re-mountpoint'
'zjk-laptop','zjk','2024-03-19 11:31:32','none','6b67345eae2e5916fc3ba47db4b909c3edc2d36a none'
'zjk-laptop','zjk','2024-03-19 12:58:43','md','e2fa8f6d55e5d2049ceba85187dc7f41b4c92c8f none'
'zjk-laptop','zjk','2024-03-19 13:52:58','oracle','b451a7ffbbc3394278d2eb6c996a0784ac0f3f1a md'
'zjk-laptop','zjk','2024-03-19 18:16:26','none','9677c7be2fbcae9163a36523879a805f29dfe621 oracle'
'zjk-laptop','zjk','2024-03-19 23:43:35','for','348c6390bb5564352985fdc6f1a5b484e3818155 none'
'zjk-laptop','zjk','2024-03-20 09:36:36','user','37cc5f994c0d22ab4c623313afed4a6b63461cf6 for'
'zjk-laptop','zjk','2024-03-20 13:55:27','none','c82c62ef35163deb1e0b2c9cdb3e136afaeb0308 user'
'zjk-laptop','zjk','2024-03-20 16:46:24','oracle','79cd5a5da719571aedd8a5729cc1e64543cdba11 none'
'zjk-laptop','zjk','2024-03-20 17:11:11','oracle','bb7680b02f887b0d37699cd395bbad33183ce349 oracle'
'zjk-laptop','zjk','2024-03-20 21:50:22','dbas','9048e2d4450580f247f37f1dcf90e8e1e066b0fa oracle'
'zjk-laptop','zjk','2024-03-20 22:28:01','dbas','8dc9a4df73204b9ca192a11f43825b2842ad682d dbas'
'zjk-laptop','zjk','2024-03-21 00:19:19','while','d116aef7275ed93168e0f9ff6354dae3abd46bce dbas'
'zjk-laptop','zjk','2024-03-21 09:47:21','dbas','7aa5a6492e6cf478de6f218d027430f8e7c36990 while'
'zjk-laptop','zjk','2024-03-21 12:18:15','none','e04c3028fd0a78ae95081c3d30142aa23f381c75 dbas'
'zjk-laptop','zjk','2024-03-21 15:26:18','dbas','dadde7ef6c7b3b18f9cf9c092760a19eb57d7cd4 none'
'zjk-laptop','zjk','2024-03-21 17:01:38','dbas-11','7367c7ed39aacf857b95d7b5dcde0a76da9d937a dbas'
'zjk-laptop','zjk','2024-03-21 17:09:18','re-log','3a7d609e0d1d0e57369b5d01936515c6c379bf56 dbas-11'
'zjk-laptop','zjk','2024-03-21 19:30:48','recover','f9f994f16675de92a29fa0f376efd49d51d199ed re-log'
'zjk-laptop','zjk','2024-03-21 20:41:37','active-standby','9a5e51627bc41a1ef8d5c2e11c36cce021f01605 recover'
'zjk-laptop','zjk','2024-03-21 22:14:39','vim','24ff2c5774480e2df037151843b2f354c583f3fb active-standby'
